h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main;PPV_subproblem_main;PWT_subproblem_main ;Balance P ;Balance H2
1;1122.0821;20000;20000;37.1807;0;36.0653;0;0;0;0;261.9509;0;1384.033;0;0
2;1122.0821;20000;20000;37.1807;0;72.1306;0;0;0;0;292.0989;0;1414.181;0;0
3;1122.0821;20000;20000;37.1807;0;108.1959;0;0;0;0;312.9267;0;1435.0088;0;0
4;1122.0821;20000;20000;37.1807;0;144.2612;0;0;0;0;318.6037;0;1440.6858;0;0
5;1122.0821;20000;20000;37.1807;0;180.3265;0;0;0;0;269.3242;0;1391.4064;1.00E-04;0
6;1122.0821;20000;20000;37.1807;0;216.3918;0;0;0;0;246.8776;1.7788;1367.181;1.00E-04;0
7;1122.0821;20000;20000;37.1807;0;252.4571;0;0;0;0;268.4697;2.8915;1387.6603;0;0
8;1122.0821;20000;20000;37.1807;0;288.5224;0;0;0;0;310.9469;82.8766;1350.1524;0;0
9;1122.0821;20000;20000;37.1807;0;324.5877;0;0;0;0;330.6103;182.0326;1270.6598;0;0
10;1122.0821;20000;20000;37.1807;0;360.653;0;0;0;0;372.8858;213.1536;1281.8143;0;0
11;1122.0821;20000;20000;37.1807;0;396.7183;0;0;0;0;332.4619;242.4707;1212.0734;1.00E-04;0
12;1122.0821;20000;20000;37.1807;0;432.7835;0;0;0;0;185.2068;252.2867;1055.0022;0;0
13;1122.0821;20000;20000;37.1807;0;468.8488;0;0;0;0;15.2787;265.9367;871.4241;0;0
14;1120;20000;20000;0;0;468.8488;0;0;0;124.3051;0;269.3625;726.3324;0;0
15;1120;20000;20000;0;0;468.8488;0;0;0;250.445;0;241.4347;628.1204;1.00E-04;0
16;1120;20000;20000;0;0;468.8488;0;0;0;233.2232;0;237.5129;649.2639;0;0
17;1120;20000;20000;0;0;468.8488;0;0;0;210.3052;0;190.1367;719.5581;0;0
18;1120;20000;20000;0;0;468.8488;0;0;0;144.4467;0;148.986;826.5673;0;0
19;1120;20000;20000;0;0;468.8488;0;0;0;292.1901;0;0;827.8099;0;0
20;1108.2456;19790.1;20000;0;209.9;252.4571;0;0;0;194.1747;0;0;914.0709;0;1.45E-12
21;1122.0821;20000;20000;37.1807;0;288.5224;0;0;0;0;28.6226;0;1150.7047;0;0
22;1122.0821;20000;20000;37.1807;0;324.5877;0;0;0;0;144.7203;0;1266.8024;0;0
23;1122.0821;20000;20000;37.1807;0;360.653;0;0;0;0;262.0475;0;1384.1296;0;0
