h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main; PPV_subproblem_main; PWT_subproblem_main 
  1.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   3.9714;   0.0000;   0.0000;   0.0000;   0.0000;   9.4643;   0.0000;  34.6186
  2.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   7.9427;   0.0000;   0.0000;   0.0000;   0.0000;   9.4643;   0.0000;  34.6186
  3.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  11.9141;   0.0000;   0.0000;   0.0000;   0.0000;   9.3229;   0.0000;  34.4772
  4.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  15.8854;   0.0000;   0.0000;   0.0000;   0.0000;   9.2632;   0.0000;  34.4175
  5.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  19.8568;   0.0000;   0.0000;   0.0000;   0.0000;   8.5835;   0.0000;  33.7378
  6.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  23.8281;   0.0000;   0.0000;   0.0000;   0.0000;   8.5027;   0.0835;  33.5735
  7.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  27.7995;   0.0000;   0.0000;   0.0000;   0.0000;   8.2588;   0.1347;  33.2784
  8.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  31.7709;   0.0000;   0.0000;   0.0000;   0.0000;  11.6206;   3.6346;  33.1403
  9.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  35.7422;   0.0000;   0.0000;   0.0000;   0.0000;  13.4408;   8.2670;  30.3282
 10.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  39.7136;   0.0000;   0.0000;   0.0000;   0.0000;  14.2423;   9.6435;  29.7530
 11.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  43.6849;   0.0000;   0.0000;   0.0000;   0.0000;  12.7418;  10.8580;  27.0380
 12.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  47.6563;   0.0000;   0.0000;   0.0000;   0.0000;   7.7364;  10.9354;  21.9553
 13.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  51.6276;   0.0000;   0.0000;   0.0000;   0.0000;   1.7962;  10.2124;  16.7382
 14.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  51.6276;   0.0000;   0.0000;   0.0000;   1.2472;   0.0000;  10.4825;  13.2203
 15.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  51.6276;   0.0000;   0.0000;   0.0000;   3.7794;   0.0000;   9.4628;  11.7078
 16.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  51.6276;   0.0000;   0.0000;   0.0000;   3.0919;   0.0000;   9.2541;  12.6040
 17.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  51.6276;   0.0000;   0.0000;   0.0000;   3.6579;   0.0000;   5.9096;  15.3825
 18.0000;  24.3437; 487.8491; 500.0000;   0.0000;  12.1509;  39.1010;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   6.8997;  17.4440
 19.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  39.1010;   0.0000;   0.0000;   0.0000;   8.8093;   0.0000;   0.0000;  16.1407
 20.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  39.1010;   0.0000;   0.0000;   0.0000;   5.8703;   0.0000;   0.0000;  19.0797
 21.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  43.0723;   0.0000;   0.0000;   0.0000;   0.0000;   6.0253;   0.0000;  31.1796
 22.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  47.0437;   0.0000;   0.0000;   0.0000;   0.0000;   9.4643;   0.0000;  34.6186
 23.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  51.0150;   0.0000;   0.0000;   0.0000;   0.0000;   9.4643;   0.0000;  34.6186
 24.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  54.9864;   0.0000;   0.0000;   0.0000;   0.0000;   9.4643;   0.0000;  34.6186
 25.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  58.9577;   0.0000;   0.0000;   0.0000;   0.0000;   9.4643;   0.0000;  34.6186
 26.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  62.9291;   0.0000;   0.0000;   0.0000;   0.0000;   9.4643;   0.0000;  34.6186
 27.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  66.9004;   0.0000;   0.0000;   0.0000;   0.0000;   9.4643;   0.0000;  34.6186
 28.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  70.8718;   0.0000;   0.0000;   0.0000;   0.0000;   9.4643;   0.0000;  34.6186
 29.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  74.8432;   0.0000;   0.0000;   0.0000;   0.0000;   8.2362;   0.0000;  33.3905
 30.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  78.8145;   0.0000;   0.0000;   0.0000;   0.0000;   6.9054;   0.0547;  32.0050
 31.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  82.7859;   0.0000;   0.0000;   0.0000;   0.0000;   7.3724;   0.0998;  32.4270
 32.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  86.7572;   0.0000;   0.0000;   0.0000;   0.0000;  10.9525;   3.2055;  32.9013
